GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-auth,com.medico.auth.config,SecurityConfig,128,0,0,0,17,0,7,0,7,0
ms-auth,com.medico.auth.config,GlobalExceptionHandler,136,0,0,0,37,0,7,0,7,0
ms-auth,com.medico.auth,MsAuthApplication,8,0,0,0,3,0,2,0,2,0
ms-auth,com.medico.auth.service,UsuarioService,74,0,4,0,17,0,7,0,5,0
ms-auth,com.medico.auth.service,JwtService,78,0,0,0,28,0,6,0,6,0
ms-auth,com.medico.auth.controller,AuthController,156,0,2,0,40,0,6,0,5,0
ms-auth,com.medico.auth.exception,ValidationExceptionHandler,114,0,0,0,22,0,6,0,6,0
ms-auth,com.medico.auth.exception,ErrorResponse,33,0,0,0,13,0,2,0,2,0
ms-auth,com.medico.auth.model,Usuario,6,0,0,0,2,0,1,0,1,0
