GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-pagos,com.medico.pago.controller,PagoController,85,0,2,0,12,0,10,0,9,0
ms-pagos,com.medico.pago.service,PagoService,42,0,0,0,9,0,7,0,7,0
ms-pagos,com.medico.pago.config,GlobalExceptionHandler,108,0,0,0,24,0,6,0,6,0
ms-pagos,com.medico.pago.exception,ErrorResponse,249,0,40,0,19,0,36,0,16,0
ms-pagos,com.medico.pago,PagosApplication,8,0,0,0,3,0,2,0,2,0
ms-pagos,com.medico.pago.dto,PagoRequest,146,21,30,0,2,4,23,4,8,4
ms-pagos,com.medico.pago.dto,PagoResponse,183,27,38,0,2,5,28,5,9,5
ms-pagos,com.medico.pago.model,Pago,131,0,22,0,7,0,22,0,11,0
